"bundestagId","name","party","profileUrl","hasConstituencyOffice","officeCount","postalAddress","postalCode","city","rawLines"
"1043330","Abdi, Sanae","SPD","https://www.bundestag.de/abgeordnete/biografien/A/abdi_sanae-1043330","true","2","Wahlkreisbüro Köln-Innenstadt, Magnusstraße 18 b, 50672 Köln | Wahlkreisbüro Kalk, Kalker Hauptstraße 212, 51103 Köln","50672 | 51103","Köln | Köln","Wahlkreisbüro Köln-Innenstadt
Magnusstraße 18 b
50672 Köln
---
Wahlkreisbüro Kalk
Kalker Hauptstraße 212
51103 Köln"
"1043342","Abraham, Knut","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/A/abraham_knut-1043342","true","2","Wahlkreisbüro Finsterwalde, Berliner Straße 27, 03238 Finsterwalde | Wahlkreisbüro Senftenberg, Schloßstraße 16, 01968 Senftenberg","03238 | 01968","Finsterwalde | Senftenberg","Wahlkreisbüro Finsterwalde
Berliner Straße 27
03238 Finsterwalde
---
Wahlkreisbüro Senftenberg
Schloßstraße 16
01968 Senftenberg"
"1043346","Achelwilm, Doris","Die Linke","https://www.bundestag.de/abgeordnete/biografien/A/achelwilm_doris-1043346","true","1","Doventorstraße 2, 28195 Bremen","28195","Bremen","Doventorstraße 2
28195 Bremen"
"1043358","Aeikens, Anna","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/A/aeikens_anna-1043358","false","0","","","",""
"1043370","Ahmetović, Adis","SPD","https://www.bundestag.de/abgeordnete/biografien/A/ahmetovic_adis-1043370","true","1","Im Kreuzkampe 1, 30655 Hannover","30655","Hannover","Im Kreuzkampe 1
30655 Hannover"
"1043376","Akbulut, Gökay","Die Linke","https://www.bundestag.de/abgeordnete/biografien/A/akbulut_goekay-1043376","false","0","","","",""
"1043380","Aken, Jan van","Die Linke","https://www.bundestag.de/abgeordnete/biografien/A/aken_jan-1043380","true","1","Burchardstraße 21, 20095 Hamburg","20095","Hamburg","Burchardstraße 21
20095 Hamburg"
"1043422","Al-Wazir, Tarek","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/A/al_wazir_tarek-1043422","true","1","Domstraße 87 - 89, 63067 Offenbach","63067","Offenbach","Domstraße 87 - 89
63067 Offenbach"
"1043386","Alabali Radovan, Reem","SPD","https://www.bundestag.de/abgeordnete/biografien/A/alabali_radovan_reem-1043386","true","3","Wahlreisbüro Schwerin, Wismarsche Str. 152, 19053 Schwerin | Wahlkreisbüro Hagenow, Bergstraße 10, 19230 Hagenow | Wahlkreisbüro Greifswald, Weißgerberstraße 14, 17489 Greifswald","19053 | 19230 | 17489","Schwerin | Hagenow | Greifswald","Wahlreisbüro Schwerin
Wismarsche Str. 152
19053 Schwerin
---
Wahlkreisbüro Hagenow
Bergstraße 10
19230 Hagenow
---
Wahlkreisbüro Greifswald
Weißgerberstraße 14
17489 Greifswald"
"1043390","Albani, Stephan","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/A/albani_stephan-1043390","true","2","Wahlkreisbüro Oldenburg, Unterm Berg 20, 26123 Oldenburg | Wahlkreisbüro Ammerland, Langenhof 2, 26160 Bad Zwischenahn","26123 | 26160","Oldenburg | Bad Zwischenahn","Wahlkreisbüro Oldenburg
Unterm Berg 20
26123 Oldenburg
---
Wahlkreisbüro Ammerland
Langenhof 2
26160 Bad Zwischenahn"
